req_id,t,size,op,seq,key,pred_ms,assigned,actual_ms,node_scale_before,node_scale_after
12,46385254.672,1849,0,1,653,2.709,1,1.013,0.500,0.494
7,46385254.737,5056,0,0,491,3.539,2,8.096,0.500,0.589
2,46385254.757,2952,0,1,10,3.024,3,4.044,0.500,0.542
13,46385254.774,5024,1,1,445,3.465,4,0.516,0.500,0.482
5,46385254.790,1529,1,0,299,2.690,5,1.041,0.500,0.494
4,46385254.805,3152,0,0,746,3.173,6,1.033,0.500,0.491
1,46385254.820,4273,0,1,818,3.299,7,1.028,0.500,0.491
3,46385254.835,2104,1,0,693,2.903,8,1.048,0.500,0.493
8,46385254.850,3155,1,0,527,3.197,9,1.040,0.500,0.491
14,46385254.865,3975,0,0,862,3.348,1,1.004,0.500,0.484
15,46385254.879,4399,0,1,229,3.322,2,8.088,0.500,0.682
11,46385254.893,75497472,1,0,700,35.535,3,26.716,0.500,0.552
26,46385254.907,3196,0,0,352,3.183,4,0.504,0.500,0.466
6,46385254.922,3247,0,0,636,3.194,5,1.010,0.500,0.485
18,46385254.936,4002,1,0,544,3.384,6,1.012,0.500,0.482
10,46385254.950,4689,1,0,259,3.515,7,1.009,0.500,0.480
17,46385254.964,4678,0,0,647,3.476,8,1.009,0.500,0.483
9,46385254.978,2248,0,0,654,2.934,9,1.024,0.500,0.484
31,46385254.991,2557,1,1,179,2.942,1,3.007,0.500,0.511
19,46385255.005,2075,0,0,24,2.880,2,24.040,0.500,1.065
47,46385255.019,1715,1,0,617,2.764,3,4.060,0.500,0.598
30,46385255.032,4834,1,0,609,3.540,4,1.502,0.500,0.464
20,46385255.046,1194,1,1,252,2.446,5,3.007,0.500,0.523
22,46385255.059,1815,0,0,939,2.792,6,3.005,0.500,0.511
21,46385255.073,4221,0,1,444,3.290,7,3.004,0.500,0.502
25,46385255.086,4744,1,0,653,3.524,8,3.005,0.500,0.501
16,46385255.099,1879,0,1,95,2.720,9,3.009,0.500,0.515
32,46385255.112,2273,0,0,583,2.941,1,9.005,0.500,0.638
23,46385255.125,84934656,1,0,260,36.549,2,82.224,0.500,1.124
69,46385255.138,2586,0,0,687,3.030,3,36.020,0.500,1.163
41,46385255.152,4922,0,0,63,3.518,4,4.505,0.500,0.505
28,46385255.165,4808,1,0,499,3.536,5,9.007,0.500,0.624
24,46385255.177,4059,1,1,640,3.290,6,9.033,0.500,0.623
27,46385255.191,3454,1,0,92,3.267,7,9.007,0.500,0.615
48,46385255.205,3207,0,1,89,3.084,8,9.006,0.500,0.622
33,46385255.218,70254592,0,0,286,32.258,9,7.373,0.500,0.501
34,46385255.236,2123,0,1,791,2.799,1,8.005,0.500,0.750
74,46385255.250,4088,1,1,55,3.296,2,40.040,0.500,1.675
73,46385255.264,2970,1,1,563,3.050,3,36.028,0.500,1.695
42,46385255.277,4125,0,0,570,3.377,4,4.004,0.500,0.539
29,46385255.291,4951,1,0,485,3.561,5,8.007,0.500,0.705
35,46385255.304,3070,0,0,953,3.153,6,8.008,0.500,0.719
37,46385255.317,1202,1,0,774,2.539,7,8.008,0.500,0.742
49,46385255.331,4344,0,1,790,3.312,8,8.007,0.500,0.712
67,46385255.343,2340,1,0,764,2.977,9,8.006,0.500,0.610
40,46385255.356,1288,1,0,99,2.582,1,9.006,0.500,0.886
77,46385255.370,2561,1,0,473,3.042,2,8.048,0.500,1.724
80,46385255.383,4050,1,0,369,3.394,3,20.020,0.500,1.905
45,46385255.397,2042,1,1,338,2.786,4,4.503,0.500,0.593
36,46385255.415,4753,0,0,692,3.489,5,9.005,0.500,0.799
38,46385255.428,4159,0,1,324,3.278,6,9.006,0.500,0.820
43,46385255.441,3970,0,1,803,3.243,7,9.005,0.500,0.843
50,46385255.454,4306,0,1,484,3.305,8,9.004,0.500,0.813
71,46385255.467,73400320,0,0,37,32.587,9,5.578,0.500,0.588
44,46385255.480,4921,1,1,588,3.447,1,0.020,0.500,0.842
101,46385255.493,1756,0,0,582,2.771,3,4.032,0.500,1.883
51,46385255.507,4051,0,0,428,3.362,4,0.004,0.500,0.563
46,46385255.520,2485,0,0,84,3.003,5,0.008,0.500,0.759
39,46385255.533,1059,1,1,22,2.376,6,0.006,0.500,0.779
58,46385255.546,2637,1,1,921,2.964,7,0.007,0.500,0.801
59,46385255.559,3680,1,1,420,3.213,8,0.008,0.500,0.772
93,46385255.572,4595,0,1,981,3.356,9,9.004,0.500,0.693
53,46385255.584,5114,0,1,114,3.442,1,5.004,0.500,0.873
105,46385255.597,4208,0,0,515,3.392,3,16.020,0.500,2.025
55,46385255.609,2314,1,0,912,2.969,4,2.502,0.500,0.577
52,46385255.622,2360,0,1,235,2.869,5,5.004,0.500,0.808
54,46385255.635,4372,1,1,912,3.350,6,5.005,0.500,0.815
64,46385255.648,53477376,0,1,592,30.357,7,35.363,0.500,0.820
60,46385255.661,3571,0,0,375,3.266,8,5.005,0.500,0.810
109,46385255.674,1738,0,1,382,2.670,9,8.003,0.500,0.808
56,46385255.687,3203,0,1,684,3.083,1,0.004,0.500,0.829
107,46385255.700,4418,0,1,639,3.325,3,36.024,0.500,2.465
81,46385255.713,2064,1,0,655,2.889,4,0.002,0.500,0.548
57,46385255.748,2352,1,1,789,2.883,5,0.003,0.500,0.768
62,46385255.764,2539,0,0,471,3.018,6,0.003,0.500,0.774
78,46385255.779,3898,1,1,888,3.258,7,0.008,0.500,0.779
63,46385255.793,3650,1,0,909,3.311,8,0.004,0.500,0.770
118,46385255.808,4373,0,1,262,3.317,9,7.005,0.500,0.873
72,46385255.823,3853,0,1,201,3.220,1,6.004,0.500,0.881
111,46385255.837,1356,1,0,583,2.614,3,16.024,0.500,2.648
82,46385255.852,3948,1,0,30,3.373,4,3.002,0.500,0.566
61,46385255.910,1352,0,0,34,2.608,5,6.003,0.500,0.845
68,46385255.938,5078,1,0,280,3.582,6,6.003,0.500,0.820
100,46385255.959,1106,1,1,670,2.401,7,6.004,0.500,0.865
65,46385255.978,2730,1,0,984,3.089,8,6.003,0.500,0.828
131,46385255.996,2634,1,0,795,3.062,9,9.010,0.500,0.977
75,46385256.013,2952,1,1,110,3.046,1,2.005,0.500,0.870
122,46385256.030,4843,0,1,206,3.398,3,0.144,0.500,2.518
87,46385256.046,1348,1,0,463,2.610,4,1.005,0.500,0.557
76,46385256.062,1193,0,1,853,2.444,5,2.005,0.500,0.843
70,46385256.077,80740352,1,1,829,36.253,6,23.657,0.500,0.811
114,46385256.093,3674,0,0,84,3.287,7,2.007,0.500,0.852
66,46385256.108,4116,1,1,753,3.301,8,2.015,0.500,0.818
134,46385256.123,3989,0,0,15,3.350,9,1.010,0.500,0.943
83,46385256.138,3509,1,1,402,3.176,1,7.010,0.500,0.937
97,46385256.153,1387,0,0,457,2.623,4,3.504,0.500,0.595
92,46385256.168,4194,1,0,398,3.422,5,7.020,0.500,0.904
79,46385256.183,3182,1,0,305,3.204,6,7.022,0.500,0.880
115,46385256.198,1542,0,0,127,2.689,7,7.003,0.500,0.940
85,46385256.212,2369,1,1,527,2.888,8,7.006,0.500,0.898
143,46385256.227,78643200,1,0,911,35.883,9,11.518,0.500,0.912
84,46385256.242,4162,0,1,508,3.279,1,0.007,0.500,0.890
102,46385256.257,1505,1,0,422,2.679,4,0.003,0.500,0.566
94,46385256.272,67108864,1,1,581,34.664,5,11.243,0.500,0.875
98,46385256.288,1272,0,0,670,2.571,6,0.005,0.500,0.836
119,46385256.303,4571,1,0,950,3.493,7,0.008,0.500,0.893
88,46385256.318,3527,0,0,970,3.256,8,0.006,0.500,0.853
171,46385256.333,3025,1,0,581,3.165,9,2.004,0.500,0.898
89,46385256.348,4308,0,1,196,3.305,1,8.005,0.500,0.967
112,46385256.363,1543,0,1,947,2.596,4,4.001,0.500,0.615
96,46385256.377,76546048,0,1,583,33.030,5,29.853,0.500,0.876
137,46385256.396,3239,1,1,805,3.115,6,8.005,0.500,0.923
126,46385256.418,5026,1,1,173,3.465,7,8.004,0.500,0.964
95,46385256.434,2032,0,0,889,2.866,8,8.005,0.500,0.950
178,46385256.449,1850,1,0,365,2.815,9,4.004,0.500,0.924
90,46385256.463,1329,1,0,930,2.601,1,2.007,0.500,0.957
117,46385256.477,3721,0,0,768,3.297,4,1.005,0.500,0.599
136,46385256.496,56623104,0,1,169,30.768,5,36.977,0.500,0.893
139,46385256.520,74448896,0,1,357,32.815,6,6.988,0.500,0.887
128,46385256.537,4758,0,0,462,3.490,7,2.006,0.500,0.944
99,46385256.552,76546048,1,1,848,35.787,8,78.756,0.500,1.013
198,46385256.566,58720256,0,1,541,31.033,9,8.105,0.500,0.891
91,46385256.582,4057,0,1,182,3.259,1,4.008,0.500,0.971
120,46385256.597,2024,1,0,629,2.876,4,2.003,0.500,0.604
174,46385256.612,2535,1,0,694,3.035,5,4.005,0.500,0.914
157,46385256.626,3796,1,1,164,3.237,6,4.005,0.500,0.905
133,46385256.641,63963136,0,1,482,31.663,7,39.262,0.500,0.959
138,46385256.655,4016,1,0,308,3.387,8,4.008,0.500,1.021
228,46385256.670,3564,1,0,615,3.292,9,5.005,0.500,0.923
103,46385256.685,5057,1,0,267,3.579,1,6.008,0.500,1.006
121,46385256.700,2659,1,0,820,3.069,4,3.003,0.500,0.623
196,46385256.714,1503,0,0,4,2.673,5,6.006,0.500,0.981
159,46385256.729,2937,0,0,943,3.121,6,6.006,0.500,0.956
145,46385256.744,1114,1,0,75,2.494,7,6.006,0.500,1.032
147,46385256.758,1809,0,0,714,2.790,8,6.004,0.500,1.078
239,46385256.773,4710,0,1,41,3.376,9,3.006,0.500,0.921
106,46385256.788,2326,1,0,767,2.973,1,0.005,0.500,0.956
127,46385256.803,60817408,0,1,853,31.290,4,20.285,0.500,0.624
199,46385256.818,4028,1,0,805,3.389,5,0.004,0.500,0.932
161,46385256.832,4780,1,0,581,3.531,6,0.006,0.500,0.908
149,46385256.847,1962,0,0,16,2.843,7,0.004,0.500,0.980
148,46385256.862,4943,0,1,577,3.414,8,0.004,0.500,1.024
241,46385256.877,3115,1,0,988,3.188,9,1.004,0.500,0.891
108,46385256.891,3802,0,0,479,3.313,1,2.004,0.500,0.938
152,46385256.906,1636,1,1,276,2.640,4,1.003,0.500,0.612
201,46385256.920,1132,0,1,172,2.414,5,2.004,0.500,0.927
184,46385256.951,2076,1,0,749,2.893,6,2.005,0.500,0.897
173,46385256.967,3756,0,1,232,3.201,7,2.003,0.500,0.962
156,46385256.983,4659,0,0,53,3.473,8,2.004,0.500,1.002
251,46385256.997,3903,1,0,723,3.364,9,8.004,0.500,0.965
110,46385257.012,4923,0,1,126,3.411,1,3.003,0.500,0.935
155,46385257.027,1087,1,1,941,2.391,4,1.502,0.500,0.613
206,46385257.042,4911,0,1,760,3.409,5,3.003,0.500,0.924
192,46385257.057,4840,0,0,17,3.504,6,3.003,0.500,0.895
183,46385257.072,1218,0,0,286,2.546,7,3.005,0.500,0.973
158,46385257.087,2523,0,1,509,2.915,8,3.006,0.500,1.003
255,46385257.101,1694,1,1,295,2.662,9,6.005,0.500,1.030
123,46385257.121,1302,0,0,886,2.585,1,6.006,0.500,1.005
163,46385257.138,1905,1,0,385,2.835,4,3.003,0.500,0.635
231,46385257.153,2737,0,0,365,3.071,5,6.003,0.500,0.976
194,46385257.168,4694,1,0,461,3.516,6,6.004,0.500,0.936
186,46385257.186,3695,1,0,319,3.320,7,6.004,0.500,1.015
162,46385257.242,2796,0,1,924,2.986,8,6.005,0.500,1.053
257,46385257.259,4579,1,0,746,3.495,9,8.005,0.500,1.093
130,46385257.275,4692,1,0,267,3.515,1,1.013,0.500,0.969
167,46385257.290,4090,0,1,459,3.265,4,0.503,0.500,0.611
232,46385257.305,1643,0,0,199,2.728,5,1.005,0.500,0.945
202,46385257.320,4272,0,0,569,3.404,6,1.004,0.500,0.904
189,46385257.334,3270,0,1,924,3.098,7,1.006,0.500,0.980
177,46385257.349,1119,1,0,918,2.496,8,1.005,0.500,1.021
260,46385257.364,1868,1,1,990,2.726,9,6.008,0.500,1.148
132,46385257.379,3294,0,1,713,3.103,1,9.003,0.500,1.066
168,46385257.393,4890,0,0,354,3.512,4,4.501,0.500,0.644
236,46385257.407,59768832,1,1,626,33.704,5,57.611,0.500,0.984
210,46385257.422,4021,1,1,82,3.283,6,9.003,0.500,0.996
190,46385257.437,3144,1,1,613,3.093,7,9.004,0.500,1.077
179,46385257.452,1098,0,0,846,2.485,8,9.005,0.500,1.151
262,46385257.466,74448896,1,0,174,35.417,9,11.930,0.500,1.108
135,46385257.481,4944,1,0,455,3.559,1,0.006,0.500,1.012
172,46385257.495,2787,0,1,709,2.984,4,0.002,0.500,0.612
264,46385257.510,4453,1,1,657,3.365,5,0.006,0.500,0.935
211,46385257.524,4133,0,0,834,3.378,6,0.004,0.500,0.946
191,46385257.538,2122,1,0,991,2.908,7,0.005,0.500,1.023
180,46385257.552,2523,0,1,807,2.915,8,0.004,0.500,1.094
277,46385257.567,1656,1,0,934,2.741,9,8.006,0.500,1.198
140,46385257.581,2506,0,1,464,2.910,1,3.005,0.500,1.013
176,46385257.596,1475,1,0,537,2.667,4,1.502,0.500,0.610
272,46385257.611,1450,1,0,769,2.656,5,3.005,0.500,0.944
212,46385257.626,1494,1,0,87,2.675,6,3.004,0.500,0.955
203,46385257.641,3649,0,1,119,3.179,7,3.004,0.500,1.019
182,46385257.655,1786,0,0,375,2.782,8,3.004,0.500,1.093
280,46385257.669,1675,0,1,901,2.647,9,6.006,0.500,1.252
141,46385257.684,82837504,0,0,205,33.513,1,98.759,0.500,1.110
187,46385257.698,103809024,0,1,425,35.484,4,8.323,0.500,0.591
276,46385257.713,1025,0,1,196,2.358,5,4.006,0.500,0.982
213,46385257.729,2978,1,0,231,3.154,6,4.005,0.500,0.971
207,46385257.743,3002,0,1,62,3.036,7,4.003,0.500,1.034
293,46385257.758,4176,0,0,505,3.386,9,4.006,0.500,1.248
142,46385257.789,1798,1,1,863,2.701,1,5.019,0.500,1.147
205,46385257.808,3737,0,0,278,3.300,4,3.003,0.500,0.607
283,46385257.826,1436,1,0,217,2.650,5,6.005,0.500,1.046
215,46385257.844,3312,1,0,116,3.235,6,6.008,0.500,1.015
