req_id,t,size,op,seq,key,pred_ms,assigned,actual_ms,node_scale_before,node_scale_after
12,45809734.061,1849,0,1,653,1.000,1,1.043,0.500,0.527
7,45809734.164,5056,0,0,491,1.000,2,8.096,0.500,0.880
2,45809734.188,2952,0,1,10,1.000,3,4.232,0.500,0.687
13,45809734.208,5024,1,1,445,1.000,4,0.521,0.500,0.501
5,45809734.227,1529,1,0,299,1.000,5,1.042,0.500,0.527
4,45809734.246,3152,0,0,746,1.000,6,1.015,0.500,0.526
1,45809734.264,4273,0,1,818,1.000,7,1.010,0.500,0.526
3,45809734.287,2104,1,0,693,1.000,8,1.047,0.500,0.527
8,45809734.310,3155,1,0,527,1.000,9,1.013,0.500,0.526
14,45809734.332,3975,0,0,862,1.000,1,1.023,0.500,0.552
10,45809734.356,4689,1,0,259,1.000,2,8.056,0.500,1.239
6,45809734.373,3247,0,0,636,1.000,3,4.052,0.500,0.855
26,45809734.395,3196,0,0,352,1.000,4,0.526,0.500,0.502
15,45809734.417,4399,0,1,229,1.000,5,1.011,0.500,0.551
11,45809734.438,75497472,1,0,700,1.000,6,6.184,0.500,0.809
16,45809734.460,1879,0,1,95,1.000,7,1.040,0.500,0.551
17,45809734.482,4678,0,0,647,1.000,8,1.050,0.500,0.553
9,45809734.504,2248,0,0,654,1.000,9,1.036,0.500,0.551
31,45809734.522,2557,1,1,179,1.000,1,3.017,0.500,0.675
23,45809734.543,84934656,1,0,260,1.000,2,104.504,0.500,6.402
19,45809734.565,2075,0,0,24,1.000,3,12.020,0.500,1.413
30,45809734.586,4834,1,0,609,1.000,4,1.503,0.500,0.552
20,45809734.607,1194,1,1,252,1.000,5,3.046,0.500,0.676
22,45809734.628,1815,0,0,939,1.000,6,1.011,0.500,0.819
21,45809734.649,4221,0,1,444,1.000,7,3.006,0.500,0.674
18,45809734.671,4002,1,0,544,1.000,8,3.042,0.500,0.678
33,45809734.693,70254592,0,0,286,1.000,9,597.546,0.500,30.401
32,45809734.716,2273,0,0,583,1.000,1,9.030,0.500,1.093
36,45809734.738,4753,0,0,692,1.000,2,8.160,0.500,6.490
35,45809734.759,3070,0,0,953,1.000,3,36.024,0.500,3.144
41,45809734.780,4922,0,0,63,1.000,4,4.503,0.500,0.750
28,45809734.801,4808,1,0,499,1.000,5,9.014,0.500,1.093
24,45809734.822,4059,1,1,640,1.000,6,9.005,0.500,1.228
27,45809734.843,3454,1,0,92,1.000,7,9.007,0.500,1.091
25,45809734.865,4744,1,0,653,1.000,8,9.015,0.500,1.095
34,45809734.886,2123,0,1,791,1.000,9,1.014,0.500,28.932
40,45809734.907,1288,1,0,99,1.000,1,8.030,0.500,1.440
43,45809734.928,3970,0,1,803,1.000,2,40.040,0.500,8.167
44,45809734.949,4921,1,1,588,1.000,3,32.020,0.500,4.587
42,45809734.970,4125,0,0,570,1.000,4,4.003,0.500,0.912
29,45809734.992,4951,1,0,485,1.000,5,8.016,0.500,1.439
38,45809735.013,4159,0,1,324,1.000,6,9.007,0.500,1.617
37,45809735.034,1202,1,0,774,1.000,7,8.004,0.500,1.436
48,45809735.055,3207,0,1,89,1.000,8,8.005,0.500,1.440
39,45809735.077,1059,1,1,22,1.000,9,8.005,0.500,27.885
53,45809735.098,5114,0,1,114,1.000,1,9.009,0.500,1.818
46,45809735.118,2485,0,0,84,1.000,2,8.056,0.500,8.162
45,45809735.132,2042,1,1,338,1.000,3,36.020,0.500,6.159
51,45809735.152,4051,0,0,428,1.000,4,4.503,0.500,1.092
52,45809735.166,2360,0,1,235,1.000,5,9.005,0.500,1.817
54,45809735.180,4372,1,1,912,1.000,6,5.004,0.500,1.786
58,45809735.210,2637,1,1,921,1.000,7,9.007,0.500,1.815
49,45809735.244,4344,0,1,790,1.000,8,9.017,0.500,1.819
47,45809735.267,1715,1,0,617,1.000,9,8.013,0.500,26.892
64,45809735.285,53477376,0,1,592,1.000,1,21.616,0.500,2.808
68,45809735.302,5078,1,0,280,1.000,2,0.040,0.500,7.756
61,45809735.319,1352,0,0,34,1.000,3,0.024,0.500,5.852
60,45809735.335,3571,0,0,375,1.000,4,0.002,0.500,1.037
56,45809735.349,3203,0,1,684,1.000,5,0.004,0.500,1.727
62,45809735.366,2539,0,0,471,1.000,6,1.004,0.500,1.747
59,45809735.381,3680,1,1,420,1.000,7,0.003,0.500,1.724
50,45809735.396,4306,0,1,484,1.000,8,0.004,0.500,1.728
55,45809735.411,2314,1,0,912,1.000,9,6.005,0.500,25.847
72,45809735.426,3853,0,1,201,1.000,1,5.006,0.500,2.918
74,45809735.442,4088,1,1,55,1.000,2,0.032,0.500,7.369
65,45809735.457,2730,1,0,984,1.000,3,20.016,0.500,6.561
81,45809735.472,2064,1,0,655,1.000,4,2.502,0.500,1.111
76,45809735.486,1193,0,1,853,1.000,5,5.004,0.500,1.891
70,45809735.501,80740352,1,1,829,1.000,6,599.676,0.500,31.644
66,45809735.515,4116,1,1,753,1.000,7,5.003,0.500,1.888
63,45809735.529,3650,1,0,909,1.000,8,5.004,0.500,1.892
57,45809735.543,2352,1,1,789,1.000,9,6.004,0.500,24.855
83,45809735.558,3509,1,1,402,1.000,1,0.004,0.500,2.772
77,45809735.595,2561,1,0,473,1.000,2,48.024,0.500,9.402
69,45809735.612,2586,0,0,687,1.000,3,0.024,0.500,6.234
82,45809735.628,3948,1,0,30,1.000,4,0.002,0.500,1.055
92,45809735.643,4194,1,0,398,1.000,5,0.003,0.500,1.796
71,45809735.660,73400320,0,0,37,1.000,6,589.761,0.500,59.550
67,45809735.676,2340,1,0,764,1.000,7,0.004,0.500,1.794
75,45809735.692,2952,1,1,110,1.000,8,0.004,0.500,1.798
78,45809735.706,3898,1,1,888,1.000,9,6.005,0.500,23.913
84,45809735.729,4162,0,1,508,1.000,1,6.004,0.500,2.934
80,45809735.744,4050,1,0,369,1.000,3,24.016,0.500,7.123
87,45809735.760,1348,1,0,463,1.000,4,3.002,0.500,1.153
94,45809735.776,67108864,1,1,581,1.000,5,147.141,0.500,9.063
73,45809735.792,2970,1,1,563,1.000,6,3.035,0.500,56.724
99,45809735.808,76546048,1,1,848,1.000,7,597.043,0.500,31.556
85,45809735.823,2369,1,1,527,1.000,8,6.003,0.500,2.008
79,45809735.839,3182,1,0,305,1.000,9,5.004,0.500,22.967
90,45809735.854,1329,1,0,930,1.000,1,2.004,0.500,2.887
101,45809735.876,1756,0,0,582,1.000,3,8.028,0.500,7.168
97,45809735.892,1387,0,0,457,1.000,4,1.005,0.500,1.145
96,45809735.907,76546048,0,1,583,1.000,5,26.242,0.500,9.922
95,45809735.922,2032,0,0,889,1.000,6,7.009,0.500,54.238
100,45809735.938,1106,1,1,670,1.000,7,2.013,0.500,30.079
88,45809735.953,3527,0,0,970,1.000,8,2.004,0.500,2.008
93,45809735.969,4595,0,1,981,1.000,9,4.003,0.500,22.019
103,45809735.985,5057,1,0,267,1.000,1,7.005,0.500,3.093
105,45809736.000,4208,0,0,515,1.000,3,28.028,0.500,8.211
102,45809736.015,1505,1,0,422,1.000,4,3.503,0.500,1.263
104,45809736.036,4294,0,1,930,1.000,5,7.009,0.500,9.777
98,45809736.051,1272,0,0,670,1.000,6,7.008,0.500,51.877
107,45809736.066,4418,0,1,639,1.000,7,7.006,0.500,28.926
109,45809736.082,1738,0,1,382,1.000,8,7.004,0.500,2.258
117,45809736.097,3721,0,0,768,1.000,9,6.004,0.500,21.218
106,45809736.112,2326,1,0,767,1.000,1,0.005,0.500,2.939
111,45809736.128,1356,1,0,583,1.000,3,0.028,0.500,7.802
120,45809736.144,2024,1,0,629,1.000,4,0.002,0.500,1.200
112,45809736.159,1543,0,1,947,1.000,5,0.005,0.500,9.288
108,45809736.174,3802,0,0,479,1.000,6,4.008,0.500,49.483
114,45809736.195,3674,0,0,84,1.000,7,0.020,0.500,27.480
