req_id,t,size,op,seq,key,pred_ms,assigned,actual_ms,node_scale_before,node_scale_after
1,46627653.485,4273,0,1,818,1.000,1,1.032,0.500,0.527
2,46627653.566,3758,0,1,336,1.000,2,8.096,0.500,0.880
3,46627653.595,1989,1,1,612,1.000,3,4.124,0.500,0.681
4,46627653.618,2104,1,0,693,1.000,4,0.506,0.500,0.500
5,46627653.639,4833,1,1,793,1.000,5,1.049,0.500,0.527
6,46627653.659,3794,0,1,205,1.000,6,1.032,0.500,0.527
7,46627653.678,4602,0,0,895,1.000,7,1.013,0.500,0.526
8,46627653.697,70254592,1,0,759,1.000,8,7.483,0.500,0.849
9,46627653.717,2652,0,1,184,1.000,9,1.047,0.500,0.527
10,46627653.735,4878,0,0,937,1.000,1,1.014,0.500,0.551
11,46627653.754,3155,1,0,527,1.000,2,8.072,0.500,1.239
12,46627653.773,2153,1,0,953,1.000,3,4.048,0.500,0.850
13,46627653.791,4382,0,1,316,1.000,4,0.505,0.500,0.501
14,46627653.809,1477,0,0,949,1.000,5,1.013,0.500,0.552
15,46627653.827,4897,0,1,170,1.000,6,1.011,0.500,0.551
16,46627653.846,1919,1,0,497,1.000,7,1.009,0.500,0.550
17,46627653.864,2547,0,1,703,1.000,8,4.011,0.500,1.007
18,46627653.882,5024,1,1,445,1.000,9,1.012,0.500,0.552
19,46627653.901,1048,0,0,188,1.000,1,3.004,0.500,0.674
20,46627653.919,65011712,0,1,419,1.000,2,151.112,0.500,8.733
21,46627653.937,4977,1,1,4,1.000,3,12.024,0.500,1.408
22,46627653.955,1897,0,0,335,1.000,4,1.503,0.500,0.551
23,46627653.973,3492,1,0,222,1.000,5,3.004,0.500,0.674
24,46627653.991,4568,1,1,270,1.000,6,3.006,0.500,0.674
25,46627654.009,4002,1,0,544,1.000,7,3.004,0.500,0.673
26,46627654.027,4301,0,0,451,1.000,8,4.005,0.500,1.157
27,46627654.045,4472,1,0,96,1.000,9,3.004,0.500,0.674
28,46627654.064,2584,1,0,203,1.000,1,9.006,0.500,1.090
29,46627654.085,4057,1,0,508,1.000,2,72.040,0.500,11.898
30,46627654.103,4380,1,1,215,1.000,3,36.020,0.500,3.139
31,46627654.122,4423,1,1,807,1.000,4,4.504,0.500,0.748
32,46627654.143,84934656,1,0,260,1.000,5,8.220,0.500,1.052
33,46627654.164,1986,0,1,446,1.000,6,9.009,0.500,1.090
34,46627654.182,94371840,0,0,836,1.000,7,217.135,0.500,11.496
35,46627654.202,2204,0,0,222,1.000,8,1.004,0.500,1.149
36,46627654.222,2174,1,0,366,1.000,9,9.008,0.500,1.091
37,46627654.240,76546048,0,1,150,1.000,1,14.830,0.500,1.777
38,46627654.259,3561,0,1,479,1.000,2,64.072,0.500,14.507
39,46627654.277,4808,1,0,499,1.000,3,32.028,0.500,4.583
40,46627654.298,4750,1,0,37,1.000,4,4.003,0.500,0.911
41,46627654.316,2181,1,1,669,1.000,5,5.006,0.500,1.249
42,46627654.334,5085,0,1,598,1.000,6,8.004,0.500,1.436
43,46627654.355,4858,0,1,438,1.000,7,5.004,0.500,11.171
44,46627654.370,2690,0,1,81,1.000,8,8.003,0.500,1.492
45,46627654.389,2431,0,1,687,1.000,9,8.005,0.500,1.437
46,46627654.407,70254592,0,0,286,1.000,1,106.754,0.500,7.026
47,46627654.425,1967,1,1,557,1.000,2,72.040,0.500,17.384
48,46627654.443,4927,0,0,736,1.000,3,36.020,0.500,6.155
49,46627654.461,3151,0,0,65,1.000,4,4.503,0.500,1.091
50,46627654.479,4058,0,0,397,1.000,5,1.006,0.500,1.237
51,46627654.496,2762,0,0,978,1.000,6,9.004,0.500,1.814
52,46627654.514,3710,0,0,9,1.000,7,4.004,0.500,10.813
53,46627654.532,4159,0,1,324,1.000,8,8.005,0.500,1.818
54,46627654.550,3688,0,0,350,1.000,9,9.006,0.500,1.815
55,46627654.568,2114,1,1,246,1.000,1,6.005,0.500,6.975
56,46627654.585,1815,1,1,570,1.000,2,0.048,0.500,16.517
57,46627654.603,3293,0,0,74,1.000,3,0.024,0.500,5.849
58,46627654.621,1751,0,0,782,1.000,4,0.003,0.500,1.036
59,46627654.639,4125,0,0,570,1.000,5,0.006,0.500,1.176
60,46627654.657,3850,1,0,57,1.000,6,0.004,0.500,1.724
61,46627654.674,1523,1,1,24,1.000,7,6.003,0.500,10.572
62,46627654.693,3830,1,0,62,1.000,8,6.005,0.500,2.027
63,46627654.714,1966,1,1,45,1.000,9,0.004,0.500,1.725
64,46627654.731,3527,0,1,221,1.000,1,6.004,0.500,6.926
65,46627654.748,3398,0,0,667,1.000,2,40.032,0.500,17.693
66,46627654.766,1715,1,0,617,1.000,3,20.020,0.500,6.557
67,46627654.784,3883,0,1,198,1.000,4,2.502,0.500,1.110
68,46627654.803,1441,0,1,129,1.000,5,0.004,0.500,1.117
69,46627654.823,1550,1,0,660,1.000,6,5.004,0.500,1.888
70,46627654.844,2273,1,0,496,1.000,7,0.004,0.500,10.044
71,46627654.862,88080384,1,1,395,1.000,8,55.914,0.500,4.721
72,46627654.883,3810,0,1,267,1.000,9,5.005,0.500,1.889
73,46627654.900,4076,0,0,451,1.000,1,6.004,0.500,6.880
74,46627654.942,3379,0,1,689,1.000,2,0.056,0.500,16.811
75,46627654.963,2610,1,1,860,1.000,3,0.020,0.500,6.230
76,46627654.978,3047,0,1,647,1.000,4,0.003,0.500,1.054
77,46627654.993,1376,1,1,322,1.000,5,6.003,0.500,1.361
78,46627655.011,2086,1,1,897,1.000,6,0.005,0.500,1.794
79,46627655.032,65011712,1,0,149,1.000,7,7.368,0.500,9.910
80,46627655.051,4429,0,0,672,1.000,8,6.004,0.500,4.786
81,46627655.066,4587,0,1,511,1.000,9,0.035,0.500,1.796
82,46627655.083,2637,1,1,921,1.000,1,5.003,0.500,6.786
83,46627655.099,4739,0,1,621,1.000,2,48.024,0.500,18.372
84,46627655.115,73400320,0,1,558,1.000,3,41.060,0.500,7.972
85,46627655.135,1030,0,0,391,1.000,4,3.002,0.500,1.152
86,46627655.153,1522,1,0,875,1.000,5,9.004,0.500,1.743
87,46627655.170,4574,1,1,955,1.000,6,6.004,0.500,2.004
88,46627655.187,4297,0,0,285,1.000,7,5.005,0.500,9.665
89,46627655.205,3650,1,0,909,1.000,8,5.005,0.500,4.797
90,46627655.223,3679,0,1,784,1.000,9,6.008,0.500,2.006
91,46627655.241,2216,1,1,82,1.000,1,4.005,0.500,6.647
92,46627655.260,3739,0,0,516,1.000,2,16.056,0.500,18.256
93,46627655.279,2371,1,1,204,1.000,3,8.016,0.500,7.974
94,46627655.294,2410,0,0,612,1.000,4,1.002,0.500,1.144
95,46627655.312,1313,0,1,50,1.000,5,7.004,0.500,2.006
96,46627655.332,5078,1,0,280,1.000,6,2.004,0.500,2.004
97,46627655.349,5037,1,1,889,1.000,7,3.006,0.500,9.332
98,46627655.366,3047,0,0,457,1.000,8,4.003,0.500,4.757
99,46627655.383,2003,1,1,64,1.000,9,2.005,0.500,2.006
100,46627655.399,2424,1,0,672,1.000,1,6.004,0.500,6.615
101,46627655.413,4141,1,1,933,1.000,2,56.048,0.500,20.145
102,46627655.430,1805,1,0,502,1.000,3,28.016,0.500,8.976
103,46627655.445,2970,1,1,563,1.000,4,3.502,0.500,1.262
104,46627655.462,4378,0,1,732,1.000,5,3.006,0.500,2.056
105,46627655.477,3599,1,0,97,1.000,6,7.005,0.500,2.254
106,46627655.493,1558,1,1,941,1.000,7,0.006,0.500,8.866
107,46627655.510,3396,0,0,544,1.000,8,6.004,0.500,4.819
108,46627655.528,3180,0,0,905,1.000,9,7.006,0.500,2.256
109,46627655.545,1967,0,1,875,1.000,1,8.003,0.500,6.685
110,46627655.561,2598,0,1,36,1.000,2,0.048,0.500,19.140
111,46627655.578,1399,0,1,726,1.000,3,0.024,0.500,8.528
112,46627655.594,2114,1,1,715,1.000,4,0.003,0.500,1.199
113,46627655.611,4050,1,0,369,1.000,5,9.004,0.500,2.404
114,46627655.628,56623104,0,1,946,1.000,6,22.192,0.500,3.251
115,46627655.647,1935,1,1,887,1.000,7,9.004,0.500,8.872
116,46627655.667,1135,0,1,822,1.000,8,8.004,0.500,4.979
117,46627655.687,1299,0,1,225,1.000,9,0.007,0.500,2.144
118,46627655.703,3838,0,1,626,1.000,1,8.004,0.500,6.751
119,46627655.720,4222,1,1,999,1.000,2,64.032,0.500,21.385
120,46627655.738,2369,1,1,527,1.000,3,32.016,0.500,9.703
121,46627655.755,1762,1,0,271,1.000,4,4.002,0.500,1.339
122,46627655.774,1625,0,1,563,1.000,5,8.004,0.500,2.684
123,46627655.790,1348,1,0,463,1.000,6,8.005,0.500,3.489
124,46627655.809,1966,0,1,985,1.000,7,3.006,0.500,8.579
125,46627655.823,3938,0,1,443,1.000,8,8.006,0.500,5.130
126,46627655.840,4308,0,1,196,1.000,9,8.004,0.500,2.437
127,46627655.856,3640,0,1,735,1.000,1,2.004,0.500,6.513
128,46627655.873,4802,1,0,981,1.000,2,16.056,0.500,21.119
129,46627655.892,4778,1,0,723,1.000,3,8.044,0.500,9.620
130,46627655.909,3919,0,1,584,1.000,4,1.002,0.500,1.322
131,46627655.928,2633,0,0,427,1.000,5,9.005,0.500,3.000
132,46627655.944,1337,0,0,416,1.000,6,2.005,0.500,3.415
133,46627655.961,67108864,1,1,581,1.000,7,250.464,0.500,20.673
134,46627655.978,2278,0,1,555,1.000,8,2.005,0.500,4.974
135,46627655.995,3161,0,1,907,1.000,9,2.006,0.500,2.415
136,46627656.012,4888,1,0,127,1.000,1,9.004,0.500,6.638
137,46627656.028,1747,1,0,54,1.000,2,32.040,0.500,21.665
138,46627656.047,3142,0,1,112,1.000,3,16.016,0.500,9.940
139,46627656.064,3220,0,0,666,1.000,4,2.002,0.500,1.356
140,46627656.081,76546048,1,1,848,1.000,5,305.825,0.500,18.141
141,46627656.098,4007,1,1,429,1.000,6,4.004,0.500,3.444
142,46627656.117,4046,1,1,115,1.000,7,2.007,0.500,19.740
143,46627656.134,1674,0,0,805,1.000,8,9.004,0.500,5.175
144,46627656.153,4839,1,1,560,1.000,9,4.004,0.500,2.495
145,46627656.170,2143,1,1,433,1.000,1,6.003,0.500,6.606
146,46627656.186,1867,0,0,66,1.000,2,48.040,0.500,22.983
147,46627656.217,4294,0,1,930,1.000,3,24.020,0.500,10.644
148,46627656.238,3790,0,1,67,1.000,4,3.002,0.500,1.439
149,46627656.256,68157440,0,1,445,1.000,5,75.057,0.500,20.987
150,46627656.274,65011712,0,0,88,1.000,6,43.038,0.500,5.424
151,46627656.292,3006,0,0,558,1.000,7,1.005,0.500,18.803
152,46627656.313,3439,0,1,986,1.000,8,6.004,0.500,5.217
153,46627656.332,3499,0,0,360,1.000,9,6.004,0.500,2.670
154,46627656.349,1820,0,0,41,1.000,1,6.003,0.500,6.576
156,46627656.366,1092,1,1,331,1.000,3,0.028,0.500,10.113
157,46627656.383,4368,1,0,748,1.000,4,0.002,0.500,1.367
158,46627656.402,3839,0,1,472,1.000,5,4.007,0.500,20.138
159,46627656.423,1543,0,1,947,1.000,6,7.005,0.500,5.503
160,46627656.441,3809,0,0,140,1.000,7,2.005,0.500,17.963
161,46627656.456,1181,1,1,672,1.000,8,6.004,0.500,5.256
162,46627656.474,84934656,0,0,251,1.000,9,137.512,0.500,9.412
163,46627656.492,2608,0,0,996,1.000,1,2.005,0.500,6.347
165,46627656.513,1123,0,1,469,1.000,3,8.020,0.500,10.008
166,46627656.534,3720,1,0,489,1.000,4,1.001,0.500,1.348
167,46627656.555,2500,0,1,189,1.000,5,9.004,0.500,19.581
168,46627656.573,3067,0,1,493,1.000,6,3.004,0.500,5.378
169,46627656.591,4571,1,0,950,1.000,7,8.004,0.500,17.465
170,46627656.609,4653,1,0,147,1.000,8,2.004,0.500,5.093
171,46627656.629,82837504,0,0,732,1.000,9,159.520,0.500,16.918
172,46627656.647,4915,0,1,484,1.000,1,6.005,0.500,6.330
174,46627656.666,1555,0,1,615,1.000,3,12.024,0.500,10.109
175,46627656.723,2973,0,0,779,1.000,4,1.501,0.500,1.356
176,46627656.753,1073,1,1,530,1.000,5,6.005,0.500,18.902
177,46627656.783,3894,0,0,590,1.000,6,5.004,0.500,5.359
178,46627656.802,1104,1,1,619,1.000,7,2.004,0.500,16.692
179,46627656.821,4586,1,1,614,1.000,8,6.004,0.500,5.139
180,46627656.839,1226,1,1,758,1.000,9,4.005,0.500,16.272
181,46627656.857,3747,0,1,753,1.000,1,9.003,0.500,6.464
183,46627656.882,5048,1,1,386,1.000,3,24.028,0.500,10.805
184,46627656.906,3448,1,1,890,1.000,4,3.003,0.500,1.438
185,46627656.922,99614720,0,0,932,1.000,5,259.929,0.500,30.954
186,46627656.939,1767,1,1,150,1.000,6,6.004,0.500,5.391
187,46627656.955,1389,1,0,862,1.000,7,9.003,0.500,16.308
188,46627656.972,3239,1,1,440,1.000,8,9.004,0.500,5.332
189,46627656.988,63963136,0,1,482,1.000,9,78.086,0.500,19.363
190,46627657.005,60817408,1,1,961,1.000,1,75.325,0.500,9.907
192,46627657.021,3982,0,0,311,1.000,3,4.020,0.500,10.466
193,46627657.037,3564,1,0,47,1.000,4,0.503,0.500,1.392
194,46627657.054,2933,0,1,343,1.000,5,0.005,0.500,29.406
